"Title";"Saga";"Genre";"Synopsis"
"Silent Hill";"Silent Hill";"adventure";"Harry Mason, an average man, is driving to the town of Silent Hill with his daughter. Upon approaching the town, a cop speeds by on a motorcycle. When Harry gets closer to town, he sees that same motorcycle sprawled in the middle of the road. Harry also spots a woman standing in the road, but due to the dense fog, he can't stop in time, so he swerves to avoid her, crashing into a railing, knocking him unconscious., , When Harry wakes up, his daughter, Cheryl, is missing. Sensing that she would head to the town to seek help, Harry sets out on a journey, not knowing what to expect from this eerie town, enshrouded with fog."
"Space Crusade";"";"strategy";"Space Crusade is a science fiction strategy game converted from the Games Workshop/Milton Bradley boardgame, in which you control a commander and four marines who are sent on different missions aboard hostile alien starships. Your commander starts off as a sergeant, but he can work his way through the ranks. The game allows three players, each commanding one marine chapter each. The alien team is played by the computer. "
"Run Saber";"";"action";"In the year 2998, the brilliant Dr. Bruford is experimenting with genetic structures and radiation. He hopes to create new functions in nature that will remove the pollution from the Earth before it is too late. Unfortunately Dr. Bruford's experiments go wrong and genetic monsters are unleashed upon the world. The only thing that can stop these creatures are Dr. Bruford's previous achievement: Genetically enhanced warriors known as the Run Sabers. Two of the Run Sabers, Sheena and Allen are ready to activate."
"Crackout";"";"action";"In the year 30XX, the mankind has exhausted all the metal resources on the Earth, so they had to travel into space in order to find more. They find a planet high in minerals, and they name it Selim. But soon they discover that there is someone watching, spying on them; it's some kind of alien race. These aliens find a hole in the humans' main computer and get inside it. The computer, programmed to self-destruct in case of a failure, starts its countdown. There is only one way to avoid self-destruction, which is entering a 14 digit code into the machine; but these digits are hidden in the walls of the corridors in the complex. Your mission is to find these letters and avoid self-destruction, aboard the ""Red Warrior"", and using your only weapon, an energy ball., "
"Super Aleste";"Aleste";"shooter";"Taking the role of a lone starfighter pilot, you are tasked with destroying an evil alien armada in standard 2D shooter fashion. And while you may be alone, you certainly won't be underpowered, with eight different types of weapons, each having six power-up levels for a grand total of 48 firing modes (not counting bomb power-ups) Super Aleste boasts one of the largest arsenals in 2D shooter history."
"Accele Brid";"";"shooter";"This is a very basic, linear ""shoot'em'up"" game in which the robot of your choice, rigged with a variety of different weapons goes through a pipe and blasts at everything that comes in the way. The robot can fire weapons from both arms as well as jump, kick and punch. Power-ups and bonuses can be picked up along the way to upgrade weapons or armour."
"Master of Darkness";"";"action";"You play as a psychologist trying to defeat Dracula. This requires you to fight your way through several spooky locations such as cemeteries, laboratories, castles or a house of wax dolls. To defeat your enemies, you can use several primary and secondary weapons. Primary weapons are close combat weapons ranging from knifes to rapiers and axes, that differ in range and efficiency. Secondary weapons are long-range weapons (pistols, bombs etc.) with limited ammunition. The game features 5 Rounds divided into 3 stages. At the end of each stage, a boss must be defeated., "
"Fade to Black";"Flashback";"action, adventure";"Fade to Black is the sequel to Flashback: the Quest for Identity. The player takes control of Conrad, the hero from Flashback who has been imprisoned by his old enemy, the Morphs. Gaining the trust and assistance of the mysterious Ancients, Conrad must fight off the Morph invasion, not knowing whom he can trust. _"
"Ms. Pac-Man";"Pac-Man";"action";"Like her boyfriend, Ms. Pac-Man attempts to clear four various and challenging mazes filled with dots and ever-moving bouncing fruit while avoiding Inky, Blinky, Pinky and Sue, each with their own personalities and tactics. One touch from any of these ghosts means a loss of life for Ms. Pac-Man."
"Pac-Man";"Pac-Man";"action";"Pac-Man stars a little, yellow dot-muncher who works his way around to clear a maze of the various dots and fruit which inhabit the board. Pac-Man's goal is continually challenged by four ghosts: The shy blue ghost Bashful (Inky), the trailing red ghost Shadow (Blinky), the fast pink ghost Speedy (Pinky), and the forgetful orange ghost Pokey (Clyde). One touch from any of these ghosts means a loss of life for Pac-Man."
"King of the Monsters";"King of the Monsters";"vs. fighting";"King of the Monsters is a two player fighting game, in which the players take control of two gargantuan monsters (like Godzillas) and battle it out in different city locations. The city gets gradually destroyed as the two creatures fight it out. The players can also interact with the scenery by picking up boats and such, to use as weapons against the other player., "
"Columns III - Revenge of Columns";"Columns";"puzzle";"Third game in the Columns series. In this fast-paced puzzle mayhem, your goal is to arrange three or more jewels of the same colour horizontally, vertically or diagonally to remove them from the playing screen. While the jewels are falling, you can change the order of their colours. In the Arcade, Versus, and Time Trial modes, you can test your skills against an opponent, a clock, or a specific task such as removing a particular jewel. New features include a rising bar that can be used to annoy opponents and magical items that have strategic value to alter the outcome mid-game."
